User ID,Time of Attempt,Authentication Method,Success/Failure,IP Address,Location,Device,Fraudulent
user_698,2024-08-10 21:41:23.617018,biometric,True,212.171.200.254,San Francisco,tablet,False
user_432,2024-07-26 21:41:23.617057,password,True,66.29.187.66,London,desktop,False
user_42,2024-07-30 21:41:23.617076,password,True,34.254.111.67,San Francisco,tablet,False
user_326,2024-07-22 21:41:23.617090,password,True,62.109.90.169,Paris,mobile,False
user_653,2024-07-15 21:41:23.617103,password,True,212.160.129.103,San Francisco,mobile,False
user_624,2024-08-04 21:41:23.617117,password,True,89.215.76.71,Paris,tablet,False
user_839,2024-07-22 21:41:23.617131,otp,True,213.172.169.173,London,desktop,False
user_7,2024-07-26 21:41:23.617147,password,True,160.120.38.94,New York,tablet,False
user_105,2024-07-30 21:41:23.617164,otp,True,246.85.123.178,Paris,mobile,False
user_9,2024-07-19 21:41:23.617176,password,True,242.199.20.132,New York,tablet,False
user_238,2024-07-22 21:41:23.617189,otp,True,218.255.253.77,Paris,mobile,False
user_577,2024-08-05 21:41:23.617200,biometric,True,10.134.250.4,San Francisco,mobile,False
user_481,2024-07-20 21:41:23.617213,otp,True,106.156.28.187,New York,desktop,False
user_9,2024-08-03 21:41:23.617224,password,False,37.109.92.136,Paris,tablet,True
user_881,2024-08-03 21:41:23.617236,password,True,80.34.76.55,New York,tablet,False
user_871,2024-07-19 21:41:23.617248,otp,True,53.144.219.86,Berlin,tablet,False
user_942,2024-07-28 21:41:23.617260,biometric,False,236.194.97.21,Berlin,mobile,True
user_191,2024-07-23 21:41:23.617271,biometric,False,110.39.149.81,London,tablet,True
user_867,2024-07-30 21:41:23.617290,otp,True,137.107.99.190,New York,desktop,False
user_578,2024-07-16 21:41:23.617303,password,False,253.201.72.180,London,tablet,True
user_540,2024-07-15 21:41:23.617314,biometric,True,25.14.225.220,Berlin,mobile,False
user_28,2024-07-16 21:41:23.617325,password,True,240.211.62.247,New York,desktop,False
user_564,2024-08-08 21:41:23.617335,biometric,True,223.91.166.168,Berlin,tablet,False
user_50,2024-07-14 21:41:23.617346,biometric,True,111.108.201.51,London,mobile,False
user_705,2024-08-11 21:41:23.617358,biometric,True,150.51.39.8,Paris,desktop,False
user_78,2024-08-11 21:41:23.617371,password,True,82.45.131.44,Berlin,mobile,False
user_214,2024-07-24 21:41:23.617385,otp,True,16.29.46.213,San Francisco,mobile,False
user_280,2024-08-04 21:41:23.617397,password,True,43.220.6.53,San Francisco,mobile,False
user_453,2024-08-04 21:41:23.617410,otp,True,9.159.168.178,Paris,mobile,False
user_900,2024-07-15 21:41:23.617421,password,True,169.180.139.100,Berlin,mobile,False
user_190,2024-07-18 21:41:23.617435,biometric,True,82.141.146.248,Berlin,tablet,False
user_830,2024-07-20 21:41:23.617447,password,False,108.21.103.130,London,desktop,True
user_984,2024-07-30 21:41:23.617464,otp,True,183.48.133.69,New York,mobile,False
user_96,2024-08-05 21:41:23.617478,biometric,True,46.112.150.3,Berlin,desktop,False
user_401,2024-08-10 21:41:23.617490,otp,False,145.49.190.54,New York,mobile,True
user_644,2024-07-23 21:41:23.617502,otp,True,51.198.193.52,Berlin,tablet,False
user_350,2024-07-28 21:41:23.617514,biometric,True,31.158.172.36,Paris,desktop,False
user_158,2024-07-19 21:41:23.617526,otp,True,244.62.248.174,San Francisco,desktop,False
user_960,2024-08-08 21:41:23.617537,password,False,80.245.86.56,Berlin,mobile,True
user_108,2024-08-01 21:41:23.617549,password,True,4.200.33.39,London,desktop,False
user_555,2024-07-24 21:41:23.617607,biometric,True,201.124.53.136,Paris,mobile,False
user_814,2024-07-23 21:41:23.617622,otp,True,118.23.51.112,Paris,mobile,False
user_905,2024-07-16 21:41:23.617633,otp,True,203.227.111.43,Paris,tablet,False
user_629,2024-07-18 21:41:23.617645,biometric,False,39.99.176.74,London,tablet,True
user_397,2024-07-18 21:41:23.617655,biometric,True,4.152.140.197,San Francisco,tablet,False
user_776,2024-07-27 21:41:23.617665,password,True,246.16.147.115,London,mobile,False
user_133,2024-08-08 21:41:23.617675,password,True,129.153.37.106,London,mobile,False
user_701,2024-07-26 21:41:23.617685,biometric,True,128.77.227.213,Berlin,mobile,False
user_903,2024-07-25 21:41:23.617696,password,False,171.133.52.146,Berlin,desktop,True
user_893,2024-07-13 21:41:23.617707,password,True,170.60.15.169,Berlin,tablet,False
